area_id,name_en,name_ka,level,code,parent_id,parent_name_en,parent_name_ka,voters_total,lat,lon
1,Mtatsminda,მთაწმინდა,dis,GE-D01,1,Tbilisi,თბილისი,52144,41.67073837185348,44.710870557053426
2,Vake,ვაკე,dis,GE-D02,1,Tbilisi,თბილისი,99163,41.72085827642551,44.725717938752986
3,Saburtalo,საბურთალო,dis,GE-D03,1,Tbilisi,თბილისი,128581,41.776721447252946,44.73330715197359
4,Krtsanisi,კრწანისი,dis,GE-D04,1,Tbilisi,თბილისი,47095,41.658992690487544,44.855824385720666
5,Isani,ისანი,dis,GE-D05,1,Tbilisi,თბილისი,117337,41.69680674332777,44.84988676717217
6,Samgori,სამგორი,dis,GE-D06,1,Tbilisi,თბილისი,154643,41.70688177123106,44.93637171246891
7,Chughureti,ჩუღურეთი,dis,GE-D07,1,Tbilisi,თბილისი,58419,41.71740099650581,44.817294479958484
8,Didube,დიდუბე,dis,GE-D08,1,Tbilisi,თბილისი,72003,41.75848661762431,44.777782399605194
9,Nadzaladevi,ნაძალადევი,dis,GE-D09,1,Tbilisi,თბილისი,140429,41.745037259377,44.81439725886008
10,Gldani,გლდანი,dis,GE-D10,1,Tbilisi,თბილისი,155319,41.7946098834642,44.830315353404366
11,Sagarejo,საგარეჯო,dis,GE-D11,2,Kakheti,კახეთი,45734,41.664504986178265,45.37231767103033
12,Gurjaani,გურჯაანი,dis,GE-D12,2,Kakheti,კახეთი,55357,41.73050714323151,45.74005516316965
13,Sighnaghi,სიღნაღი,dis,GE-D13,2,Kakheti,კახეთი,31830,41.51115564605047,45.93723490056117
14,Dedoplistskaro,დედოფლისწყარო,dis,GE-D14,2,Kakheti,კახეთი,23186,41.31144003324615,46.24686942971666
15,Lagodekhi,ლაგოდეხი,dis,GE-D15,2,Kakheti,კახეთი,39735,41.82915640547883,46.167511042916026
16,Kvareli,ყვარელი,dis,GE-D16,2,Kakheti,კახეთი,29631,41.97014384671024,45.859639281459415
17,Telavi,თელავი,dis,GE-D17,2,Kakheti,კახეთი,57923,42.025949678481275,45.508798820405644
18,Akhmeta,ახმეტა,dis,GE-D18,2,Kakheti,კახეთი,30795,42.25951406046544,45.37382534707023
19,Tianeti,თიანეთი,dis,GE-D19,3,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,11073,42.12742520579302,45.00920346736107
20,Rustavi city,ქ. რუსთავი,dis,GE-D20,4,Kvemo Kartli,ქვემო ქართლი,110402,41.53800459636987,45.023370717462896
21,Gardabani,გარდაბანი,dis,GE-D21,4,Kvemo Kartli,ქვემო ქართლი,74189,41.60884342111625,45.05912286141668
